Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Host,Collection_Date
EPI_ISL_374163,EPI1534403|A/chicken/Jiangsu/J1082/2018,A_chicken_Jiangsu_J1082_2018,A_/_H9N2,Chicken,2018-03-27
EPI_ISL_374162,EPI1534402|A/chicken/Jiangsu/J1077/2018,A_chicken_Jiangsu_J1077_2018,A_/_H9N2,Chicken,2018-03-27
EPI_ISL_374161,EPI1534401|A/chicken/Jiangsu/J1075/2018,A_chicken_Jiangsu_J1075_2018,A_/_H9N2,Chicken,2018-03-27
EPI_ISL_374160,EPI1534400|A/chicken/Jiangsu/J1074/2018,A_chicken_Jiangsu_J1074_2018,A_/_H9N2,Chicken,2018-03-27
EPI_ISL_374159,EPI1534399|A/chicken/Jiangsu/J1069/2018,A_chicken_Jiangsu_J1069_2018,A_/_H9N2,Chicken,2018-03-27
EPI_ISL_374158,EPI1534398|A/chicken/Jiangsu/J1001/2018,A_chicken_Jiangsu_J1001_2018,A_/_H9N2,Chicken,2018-03-27
EPI_ISL_374157,EPI1534397|A/chicken/Hubei/H1401/2018,A_chicken_Hubei_H1401_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374156,EPI1534396|A/chicken/Hubei/H1398/2018,A_chicken_Hubei_H1398_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374155,EPI1534395|A/chicken/Hubei/H1397/2018,A_chicken_Hubei_H1397_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374154,EPI1534394|A/chicken/Hubei/H1390/2018,A_chicken_Hubei_H1390_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374153,EPI1534393|A/chicken/Hubei/H1388/2018,A_chicken_Hubei_H1388_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374152,EPI1534392|A/chicken/Hubei/H1387/2018,A_chicken_Hubei_H1387_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374151,EPI1534391|A/chicken/Hubei/H1386/2018,A_chicken_Hubei_H1386_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374150,EPI1534390|A/chicken/Hubei/H1383/2018,A_chicken_Hubei_H1383_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374149,EPI1534389|A/chicken/Hubei/H1382/2018,A_chicken_Hubei_H1382_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374148,EPI1534388|A/chicken/Hubei/H1380/2018,A_chicken_Hubei_H1380_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374147,EPI1534387|A/chicken/Hubei/H1379/2018,A_chicken_Hubei_H1379_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374146,EPI1534386|A/chicken/Hubei/H1377/2018,A_chicken_Hubei_H1377_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374145,EPI1534385|A/chicken/Hubei/H1376/2018,A_chicken_Hubei_H1376_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374144,EPI1534384|A/chicken/Hubei/H1372/2018,A_chicken_Hubei_H1372_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374143,EPI1534383|A/chicken/Hubei/H1369/2018,A_chicken_Hubei_H1369_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374142,EPI1534382|A/chicken/Hubei/H1367/2018,A_chicken_Hubei_H1367_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374141,EPI1534381|A/chicken/Hubei/H1365/2018,A_chicken_Hubei_H1365_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374140,EPI1534380|A/chicken/Hubei/H1362/2018,A_chicken_Hubei_H1362_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374139,EPI1534379|A/chicken/Hubei/H1360/2018,A_chicken_Hubei_H1360_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374138,EPI1534378|A/chicken/Hubei/H1359/2018,A_chicken_Hubei_H1359_2018,A_/_H9N2,Chicken,2018-04-11
EPI_ISL_374137,EPI1534377|A/chicken/Hubei/H1358/2018,A_chicken_Hubei_H1358_2018,A_/_H9N2,Chicken,2018-04-11
